id,question,answer,category,source
1934,O seguro de cuidados de longo prazo paga cuidados domiciliares?,"Depende da política. Muitos pagarão pelos cuidados domiciliários e alguns poderão até pagar aos familiares. Se você já possui uma apólice de cuidados de longo prazo, precisará revisá-la com seu agente para determinar o que sua apólice cobre. Se você não o fizer e estiver pensando em adquirir um seguro de assistência de longo prazo, certifique-se de que ele tenha uma prestação de assistência médica domiciliar. Converse com um bom agente familiarizado com o Care Resource Planning para encontrar a melhor opção para você.",geral,insurance_qa_v2
1935,Quando os benefícios de morte do seguro de vida são tributáveis?,"Normalmente, os rendimentos do seguro de vida não são tributáveis. Eles são repassados ​​ao beneficiário com isenção de impostos e podem ser depositados em uma conta pré-aprovada ou pré-discutida. Com base em meus 32 anos de experiência lidando com muitas reclamações, o período de tempo é de cerca de 10 a 30 dias para o cheque chegar. Em algumas circunstâncias, poderá haver impostos sobre heranças. Além disso, dependendo do tipo de apólice e de como os prêmios foram pagos, poderia haver um fato gerador. Um corretor ou planejador financeiro em tempo integral é seu melhor recurso.",geral,insurance_qa_v2
1936,Preciso me inscrever no Medicare todos os anos?,"Não, você não precisa se inscrever no Medicare todos os anos. Uma vez coberto pelo Medicare, você estará coberto por ele continuamente. Se você mudou para o Medicare Advantage -LRB- Medicare Parte C -RRB-, precisará revisar as opções do seu plano todos os anos entre 15 de outubro e 7 de dezembro. Esses planos mudam e podem acabar.",geral,insurance_qa_v2
1937,O que é o período especial de inscrição no Medicare?,"Um período de inscrição especial para o Medicare original -LRB- Parte A e Parte B -RRB- é uma qualificação para se inscrever no Medicare imediatamente sem ter que esperar pelo período de inscrição geral -LRB- 1º de janeiro a 31 de março de cada ano -RRB- se você não se inscreveu no Medicare quando era elegível pela primeira vez -LRB- completando 65 anos -RRB- - a inscrição durante um período de inscrição especial também permitiria que você evitasse estar sujeito a quaisquer penalidades de inscrição tardia. Com relação aos períodos de inscrição especiais para Parte C -LRB- Medicare Advantage -RRB- e Parte D -LRB- planos independentes de medicamentos prescritos -RRB-, é uma qualificação para fazer alterações em seu programa fora do período de inscrição anual -LRB- 15 de outubro a 7 de dezembro de cada ano -RRB- - Planos de suplementos do Medicare -LRB- também conhecidos como planos Medigap -RRB- podem ser alterados a qualquer momento durante o ano. Há diversas maneiras pelas quais alguém pode se qualificar para um período de inscrição especial, sendo a mais comum uma pessoa que abandona o plano de seguro saúde coletivo de seu empregador. Espero que as informações sejam úteis – sinta-se à vontade para entrar em contato comigo para obter assistência com seu programa e se tiver outras dúvidas. Muito obrigado.",geral,insurance_qa_v2
1938,Quando você precisa de seguro de vida?,"O seguro de vida é geralmente adquirido para proteger responsabilidades econômicas temporárias. O seguro de vida deve ser adquirido no primeiro evento de vida, onde outros sofreriam perdas econômicas devido à sua morte. O evento de vida pode proteger seu cônjuge de pagamentos de hipotecas que dependem de sua capacidade de ganho. Talvez um jovem empresário esteja a iniciar um negócio com parceiros onde a empresa necessita de garantir um empréstimo bancário e a instituição bancária necessita de proteger a vida dos proprietários do negócio. Se alguém sofrer perdas econômicas por causa de sua morte, é hora de adquirir um seguro de vida.",geral,insurance_qa_v2
1939,O Medicare cobre cuidados domiciliares para idosos?,"O Medicare Original -LRB- Partes A e B -RRB- cobre alguns serviços de saúde domiciliar em tempo parcial, como fisioterapia, cuidados de enfermagem qualificados, serviços de fonoaudiologia, etc. No entanto, o Medicare não paga cuidados de saúde ao domicílio 24 horas por dia, nem refeições entregues em sua casa, cuidados pessoais e serviços de dona de casa. Tenha em atenção que há uma série de condições que devem ser cumpridas para que o Medicare cubra os seus cuidados de saúde ao domicílio. Se precisar de mais do que cuidados domiciliários a tempo parcial/intermitentes, o Medicare não cobrirá as despesas. Os cuidados de saúde ao domicílio são muito caros e você pode esgotar as suas poupanças pagando por eles. Para alguém que deseja que os cuidados de saúde ao domicílio 24 horas por dia sejam cobertos pelo seu seguro, deve procurar obter uma apólice de seguro de cuidados de longo prazo. Embora o cuidado de longo prazo possa ser um tipo de seguro caro, você estará pagando centavos por dólar se precisar fazer uma reclamação sobre a cobertura. Há muitas partes móveis no seguro de cuidados de longo prazo. Se você deseja garantir esse tipo de cobertura, é mais útil consultar um corretor experiente para ajudá-lo a criar uma apólice que melhor atenda às suas necessidades. Por favor, deixe-me saber se eu puder ajudar mais. Muito obrigado.",geral,insurance_qa_v2
1940,Como posso saber se alguém tem seguro automóvel?,"A menos que você seja um empregador ou contratado com necessidade de saber, ou possa haver outras situações, como uma escola ou uma organização sem fins lucrativos, quando permite que um pai leve crianças, por exemplo, com requisitos para apresentar comprovante de seguro, não há como qualquer indivíduo descobrir se outra pessoa está segurada. Esta é uma informação propiciatória. Então, a menos que você tenha uma situação em que haja necessidade de saber, você não saberá.",geral,insurance_qa_v2
1941,O seguro saúde cobre cirurgia de mandíbula?,"Isso dependerá da política de saúde que você possui e do tipo de cirurgia na mandíbula que você precisa. Muitas apólices de seguro de saúde contêm uma exclusão que não oferece cobertura para ATM; no entanto, se você precisar de qualquer outro tipo de cirurgia na mandíbula que seja considerada clinicamente necessária pelo seu médico, quase todas as apólices de seguro de saúde fornecerão cobertura.",geral,insurance_qa_v2
1942,De quanto seguro de invalidez de curto prazo eu preciso?,"De quanta incapacidade de curto prazo você precisa? Bem, vai depender do que você tem em mãos que é líquido e se você deseja liquidar esses ativos. As pessoas compram seguros porque não têm reservas ou não querem vendê-las para fazer face a uma doença ou lesão inesperada. Quanto você precisa depende de como você lidaria com a situação? Todo seguro, nenhum seguro, um pouco dos dois? A resposta é a sua situação.",geral,insurance_qa_v2
1943,Como cancelar o seguro de doenças graves?,"Se esta for uma apólice de seguro individual de doenças graves, basta ligar para a empresa que emitiu a apólice e informar que deseja cancelar a apólice. Eles normalmente processarão a solicitação. Se você estiver pagando os prêmios mensalmente e por meio de transferência eletrônica de fundos, eles cancelarão a EFT e reembolsarão qualquer prêmio não ganho.",geral,insurance_qa_v2
1944,O seguro residencial é mais barato do que o seguro residencial?,"Começaremos a responder a esta questão com a seguinte cautela: quando se pergunta sobre uma apólice ser “mais barata” que outra -LRB- especialmente quando é a primeira pergunta feita -RRB-, surge a preocupação imediata quanto à falta de importância da cobertura que é o motivo principal para a aquisição do seguro. Para responder corretamente à pergunta, o Seguro Residencial e o Seguro Proprietário não estão relacionados de nenhuma outra forma a não ser fornecer cobertura de propriedade para uma residência semelhante. A apólice de seguro residencial é definida e redigida para a casa ocupada pelo proprietário do titular do imóvel; a apólice de Seguro de Proprietário é definida e redigida para a casa ocupada pelo inquilino do titular do imóvel. Cada contrato de apólice contém uma Cláusula de Ocupação informando a ocupação da moradia segurada. Temos testemunhado grandes perdas que foram negadas pelas transportadoras devido à ocupação não corresponder à finalidade da apólice. Portanto, se você tiver uma casa ocupada por um inquilino, precisará adquirir uma Apólice de Proprietário e, se quiser fazer um seguro para sua casa principal, deverá adquirir uma Apólice de Proprietário. A LandlordsPolicy representa estatisticamente um fator de risco maior para a seguradora; no entanto, geralmente, a Política de Proprietários não fornece cobertura para bens pessoais -LRB- conteúdos -RRB- e fornece uma forma mais limitada de Cobertura de Responsabilidade listada como Responsabilidade Somente nas Instalações. Já em relação ao custo, o prêmio é específico da experiência da operadora com cada tipo de apólice. Existem seguradoras que têm uma experiência histórica muito pior em imóveis ocupados por inquilinos; assim, a Política de Proprietários seria classificada como um risco mais elevado do que a Política de Proprietários de Casas. No entanto, na maioria dos casos, para o mesmo valor de Cobertura de Habitação, descobrimos que o Prêmio da Apólice do Proprietário é inferior ao da Apólice do Proprietário. Uma palavra sábia para o público seria adquirir a cobertura correta para a aplicação, pois se uma reivindicação futura for negada com base no formulário de apólice incorreto que está sendo adquirido, todo o propósito do seguro será nulo e desnecessário. Para mais informações sobre Seguro Residencial, clique no seguinte link: WEBSITELINK",geral,insurance_qa_v2
1945,Com que idade posso obter o Medicare?,"Se você estiver incapacitado, poderá obter o Medicare 2 anos depois de começar a receber benefícios por invalidez da Previdência Social. Se você tiver doença renal terminal ou ELA, poderá começar a receber o Medicare depois de atender aos critérios estabelecidos para essas doenças. Caso contrário, você poderá obter o Medicare aos 65 anos.",geral,insurance_qa_v2
1946,O que o Medigap Plano F cobre?,"O plano Medigap F é o plano complementar do Medicare com tudo incluído, popular entre muitos beneficiários do Medicare. O Plano F paga 100% dos encargos da Parte A e da Parte B aprovados pelo Medicare que não são pagos pelo Medicare devido a franquias e cosseguro. Existem opções mais econômicas para a maioria das pessoas. Mais de 90% dos meus clientes Medigap escolhem algo diferente do plano F",geral,insurance_qa_v2
1947,O Medicare Parte D cobre o Remicade?,"Pessoas com doença de Crohn ou outras doenças autoimunes podem encontrar alívio sintomático com Remicade. O medicamento é administrado por infusão, normalmente em clínica ou consultório médico. A terapia de infusão é coberta pela Parte B do Medicare, e não pela Parte D. Se você estiver recebendo terapia de infusão em sua casa, o Medicare não cobrirá o tratamento.",geral,insurance_qa_v2
1948,O seguro de cuidados de longo prazo vale o preço?,"Os cuidados de longo prazo valem o preço? Isso realmente depende do indivíduo. Acho que aqueles que seguem as etapas para adquirir cuidados de longo prazo sentem que vale a pena investir tempo e dinheiro para adquiri-los. Os cuidados de longa duração não são para todos, mas são para aqueles que desejam algum controlo sobre os cuidados que recebem nas fases posteriores da sua vida.",geral,insurance_qa_v2
1949,O Medicare cobre medicina naturopática?,"Não, o Medicare não cobre medicina naturopática. Os tratamentos de naturopatia são considerados uma das várias Terapias Alternativas, ou Medicina Alternativa, pelos Centros de Serviços Medicare e Medicaid -LRB-CMS -RRB-. O CMS também não aprova a Medicina Complementar, que incorpora elementos espirituais e metafísicos no processo de cura.",geral,insurance_qa_v2
1950,Quando termina o seguro de vida?,O seguro de vida termina quando o período do contrato termina. O seguro de vida termina quando você não paga o prêmio e o período de reintegração termina. O seguro de vida termina quando ocorre um sinistro por morte enquanto a apólice estiver em vigor. O seguro de vida termina e o seguro de vida permanente começa quando o privilégio de conversão é exercido na apólice de seguro de vida existente.,geral,insurance_qa_v2
1951,O valor em dinheiro do seguro de vida é tributável quando entregue?,"Quando você desiste do seu seguro de vida, você está cancelando sua apólice. Então você tem que pagar impostos sobre qualquer valor que o valor da sua apólice tenha aumentado, não sobre o valor total em dinheiro, apenas sobre o valor aumentado, como se fosse os juros auferidos. No entanto, uma maneira muito mais inteligente de fazer as coisas seria NÃO descontar sua apólice, mas sim obter um empréstimo para apólice. Desta forma, você ainda tem uma apólice e não fica sem seguro, e talvez não possa comprar um seguro de vida novamente, devido à idade ou à saúde. Você também continua a ganhar com a apólice, como se o dinheiro ainda estivesse lá, embora o benefício por morte seja reduzido, a menos ou até que você pague o empréstimo. Mas você não precisa devolvê-lo, a menos que assim queira. Você deve discutir isso com um agente de seguros de vida experiente. Gary Lane, representante registrado, New York Life, 949 797 2424. Obrigado .",geral,insurance_qa_v2
1952,Posso alterar o seguro residencial a qualquer momento?,"Uma apólice residencial, semelhante a uma apólice automotiva, pode ser cancelada e assinada com outra operadora a qualquer momento. Qualquer parcela dos prêmios que tenha sido paga e não utilizada deverá ser reembolsada pela transportadora. Se desejar mudar de operadora a qualquer momento, você poderá fazê-lo.",geral,insurance_qa_v2
1953,Qual é o custo final de uma injeção de herpes zoster?,"O custo final do herpes varia dependendo da gravidade da sua condição, dos benefícios do seu seguro e de onde você procura tratamento. A maioria das formas de herpes zoster, cuja recorrência há anos em alguns casos, é tratada com medicamentos. Desde que você esteja segurado, o custo do seu tratamento será igual ao custo das consultas médicas combinado com o copagamento dos seus medicamentos. Se você não tem seguro, você pode encontrar um médico para atendê-lo por menos de US$ 60 na maioria dos casos, ou considerar tentar a telemedicina, onde uma consulta pode custar US$ 30 ou menos. Depois que seu medicamento for prescrito, visite www.GoodRx.com para encontrar o preço mais baixo disponível em sua área local para o medicamento que você precisa. Para um caso menor de herpes zoster, muitas vezes você pode ser tratado por menos de US$ 100 no total. Os casos graves, que se repetem durante anos, podem custar muitas vezes esse valor.",geral,insurance_qa_v2
1954,Qual é o custo médio do seguro residencial?,"As taxas de seguro residencial variam dependendo de muitos fatores. Alguns desses fatores são a idade do local, a avaliação do local, a localização geográfica do local, o histórico de sinistros do segurado, os materiais de construção usados ​​para construir o local, a distância do corpo de bombeiros mais próximo e a distância do hidrante mais próximo, apenas para citar alguns. Na minha área e com base na minha experiência, eu diria que a média é de cerca de US$ 1.000/ano.",geral,insurance_qa_v2
1955,O seguro de vida do acionista é dedutível?,"No Canadá, na maioria dos casos, os prêmios de seguro de vida não são dedutíveis. Existem algumas exceções : 1 . Se o segurado estiver solicitando um empréstimo e a instituição que empresta os fundos solicitar que ele compre um seguro de vida como garantia, uma parte dos prêmios dessa apólice se qualifica como despesa dedutível -LRB- o Custo Líquido do Seguro Puro -RRB- 2 . Quando um doador doa uma apólice de seguro de vida para uma instituição de caridade ou uma instituição de caridade contrata uma apólice de vida do doador, os prêmios pagos pelo doador serão considerados uma doação de caridade elegível para um crédito fiscal de caridade -LRB- para pessoas físicas -RRB- ou dedução -LRB- para empresas -RRB-. Embora não seja dedutível, existem diversas situações em que o seguro de vida corporativo deve ser considerado. Por exemplo: O seguro é necessário para financiar um contrato de compra e venda, haverá mais de um acionista segurado. Provavelmente haverá idades diferentes e taxas de prémios desiguais. Também poderá haver diferenças de custos entre os acionistas devido às classificações de prémios de subscrição. As apólices detidas pelas empresas ajudam a equalizar as diferenças de prémios resultantes. O contribuinte com a taxa de imposto mais baixa necessita de menos rendimento antes de impostos para pagar os prémios; seus dólares são mais baratos. Em muitos casos, poderia ser a corporação. Se você tiver mais perguntas ou achar que posso ser útil, não hesite em entrar em contato comigo. Se você gostaria de trabalhar com um corretor de seguros de vida local, você pode começar com uma pesquisa no Google. Por exemplo, se você pesquisar: corretor de seguros de vida Halifax ou agente de seguros de vida Halifax, meu nome, junto com vários outros, aparecerá. Você pode usar o mesmo método para encontrar um corretor de seguros de vida em sua comunidade. -LRB- Como as leis tributárias variam de acordo com a jurisdição e mudam, verifique com seus consultores fiscais e profissionais locais. -RRB- Nota: As informações contidas neste artigo destinam-se apenas a fornecer orientações gerais. A aplicação e o impacto da lei podem variar amplamente de caso para caso, com base nos factos específicos ou únicos envolvidos. Dessa forma, as informações contidas neste artigo não se destinam a servir como aconselhamento jurídico, contábil ou fiscal. Os usuários são incentivados a consultar seus consultores profissionais para aconselhamento sobre assuntos específicos antes de tomar uma decisão.",geral,insurance_qa_v2
1956,O que significa ter franquia de seguro saúde?,"A franquia do seguro saúde é muito comum. Normalmente, é de aproximadamente US$ 500 a US$ 5.000 -LRB- Sim... essa é uma faixa grande -RRB- e se aplica a grandes reclamações médicas e, muitas vezes, a visitas ao pronto-socorro, cirurgias hospitalares e procedimentos ambulatoriais. Normalmente, dependendo da apólice, as visitas ao escritório e muitas receitas não estão sujeitas à franquia. Naturalmente, uma franquia mais alta reduzirá suas taxas.",geral,insurance_qa_v2
1957,O seguro de doenças graves cobre o câncer de tireoide?,"O seguro de doença crítica paga o câncer de tireoide se o câncer for grave. Por exemplo O seguro de doença grave não cobre o cancro in situ, mas pagará se o cancro estiver numa fase mais avançada. Dito isto, você precisa consultar a política para ver as suas orientações para o câncer de tireoide. Pode ter um determinado tamanho para ser coberto. Mas o câncer de tireoide é coberto em muitas situações.",geral,insurance_qa_v2
1958,Por que obter seguro de invalidez de curto prazo?,"Os benefícios de invalidez da Segurança Social podem gerar algum rendimento durante uma doença prolongada e/ou recuperação de uma lesão. Alguns planos de grupos patronais também oferecem invalidez de curto prazo. Mas se o seu empregador não oferece benefícios por invalidez, a maioria dos consultores recomenda ter pelo menos um seguro de invalidez de curto prazo, caso você não possa pagar prêmios de invalidez de longo prazo.",geral,insurance_qa_v2
1959,Posso contratar um seguro de vida para outra pessoa?,"Sim, em alguns casos. Para poder adquirir uma apólice de seguro de vida em qualquer outro lugar é necessário um “interesse segurável” e a permissão da pessoa a ser segurada. A família imediata normalmente tem um interesse segurável um sobre o outro -LRB-, ou seja, marido, esposa, filhos, avós -RRB-. Uma empresa também poderia ter um interesse segurável em funcionários-chave. Contate um agente local para discutir suas necessidades e desejos em cobertura de seguro de vida e ele poderá fornecer informações sobre as apólices que teriam disponíveis para atender às suas necessidades.",geral,insurance_qa_v2
1960,Quanto custa o seguro de invalidez por mês?,"O preço do prêmio por invalidez depende de suas informações médicas, comportamento e remuneração. São coletadas informações médicas, como sexo, idade, tabagismo, histórico de saúde, condição médica atual, etc. Comportamentos como atividades recreativas perigosas, vocações perigosas e violações de veículos motorizados. E quanto da sua remuneração você deseja cobrir dentro dos limites do seguro de invalidez? A regra geral para um homem saudável não fumador que cobre 60% da sua remuneração pode ser de 3 a 5% da cobertura da remuneração. Portanto, divida esse número por 12 e você obterá uma estimativa do prêmio mensal.",geral,insurance_qa_v2
1961,Quando devemos obter seguro de vida?,"O melhor momento para obter seguro de vida é enquanto você é jovem e saudável, porque as taxas são mais baixas nessa época. No entanto, muitas pessoas não pensam em comprar um seguro de vida até ficarem mais velhas e percebem que não foram capazes de economizar o que pensavam que conseguiriam. Ou quando são diagnosticadas com uma doença e confrontadas com a sua própria mortalidade. O custo será maior em uma idade mais avançada, mas os anos de necessidade da apólice serão mais curtos. E se você tiver um problema de saúde controlado, ainda poderá encontrar algumas taxas razoáveis. A idade e a saúde precária não eliminam a necessidade de seguro de vida e existem apólices disponíveis para quase todos.",geral,insurance_qa_v2
1962,Posso obter seguro automóvel sem licença?,"Existem várias maneiras de fazer isso. Existem muitas operadoras que irão garantir você mesmo se você não tiver uma licença. Sempre verifique as leis do seu estado. Existem operadoras que entendem que você pode precisar de um Sr22 para obter sua licença e para fazer isso você deve ter seguro, então você compra o seguro sem licença e depois de obter sua licença porque obteve o SR22, entre em contato com seu agente, ele deve reduzir suas taxas. Você NÃO precisa possuir um carro para obter seguro. Você pode obter em alguns estados o que é chamado de apólice de não propriedade e também alguns estados têm o que é chamado de formato amplo e isso cobre qualquer carro que você dirige. Sugiro fortemente que você entre em contato com um agente de seguros independente de boa reputação. Eles devem ser capazes de orientá-lo através das leis e regras adequadas ao seu estado.",geral,insurance_qa_v2
1963,Quem regulamenta o seguro de vida na Pensilvânia?,"O Departamento de Seguros da Pensilvânia regulamenta o seguro de vida no PA. . Michael Consedine é o atual Comissário de Seguros do Departamento de Seguros da PA. O Escritório de Regulamentação e Administração de Produtos de Seguros, que faz parte do Departamento de Seguros da PA, analisa e regula as taxas e produtos de seguro de vida aprovados no estado da Pensilvânia.",geral,insurance_qa_v2
1964,As empresas terão que fornecer seguro saúde?,"As empresas com 51 ou mais funcionários em tempo integral -LRB-FTE -RRB- são obrigadas a oferecer benefícios de seguro saúde que atendam aos requisitos de benefícios essenciais e também às diretrizes de prêmio/acessibilidade estabelecidas pelo governo. Se as empresas não oferecerem benefícios, estarão sujeitas a duras penalidades fiscais. As pequenas empresas com 50 ou menos funcionários a tempo inteiro não estão sujeitas às regras e podem renunciar à cobertura sem serem penalizadas. No futuro, haverá uma mudança na oferta de planos para pequenos grupos, que define planos de contribuição como uma forma de reduzir os custos da empresa com seguro saúde. Para obter mais informações sobre benefícios de grupo, visite www.clminsure.com ou ligue para 561-320-2978",geral,insurance_qa_v2
1965,Quem são as maiores seguradoras de saúde dos EUA?,"De acordo com a Associação Nacional de Comissários de Seguros -LRB- NAIC -RRB-, as 10 principais companhias de seguros de saúde são as seguintes: 1. Saúde Unida 2 . Wellpoint Inc. Grupo -LRB- Blue Cross e Blue Shield Association servindo membros na Califórnia, Colorado, Connecticut, Geórgia, Indiana, Kentucky, Maine, Missouri, Nevada, New Hampshire, Nova York, Ohio, Virgínia e Wisconsin -RRB-3. Fundação Kaiser 4 . Grupo Aetna 5 . Humana 6 . HCSC -LRB- Blue Cross e Blue Shield do Texas, Novo México, Illinois, Oklahoma -RRB- 7. Coventry Corp. Grupo -LRB- embora tenham sido adquiridos pela Aetna -RRB- 8 . Highmark Group -LRB- Blue Cross Blue Shield da Pensilvânia e outras empresas -RRB- 9. Grupo Independência 10 . Escudo Azul da Califórnia",geral,insurance_qa_v2
1966,Quanto vale uma apólice de seguro de vida típica?,"De acordo com o Conselho Americano de Seguradoras de Vida -LRB-ACLI-RRB-, em 2008, o valor nominal da apólice média de seguro de vida nos EUA era de US$ 183.000. Em 2010, o valor nominal da apólice média de seguro de vida era de US$ 165.000. Se for seguro a prazo, não há valor em dinheiro para a apólice em si. O valor médio em dinheiro do seguro permanente é menor que o valor nominal, com o valor em dinheiro dependendo de há quanto tempo a apólice foi adquirida e da taxa de juros.",geral,insurance_qa_v2
1967,O seguro automóvel vai para o seu relatório de crédito?,"Quando você solicita a compra de um seguro, a maioria das seguradoras leva em consideração o seu crédito. É considerado um ``soft hit''. Irá aparecer no seu histórico de crédito que houve uma consulta, isso não altera nem afeta o seu crédito. Portanto, qualquer que seja sua pontuação de crédito antes de solicitar o seguro, será a mesma após a solicitação. Que eu saiba, a Califórnia é um dos estados que obriga as companhias de seguros a não levarem em consideração o histórico de crédito de uma pessoa ao avaliar o prêmio. Você pode verificar com um agente de seguros ou corretor licenciado em seu estado para ver se seu estado segue as mesmas regras.",geral,insurance_qa_v2
1968,Onde encontrar o melhor seguro automóvel?,"Onde você pode encontrar o melhor seguro de carro? Com base nos meus 32 anos de experiência como corretor, o melhor lugar é diretamente de um corretor e/ou de seu site confiável. Normalmente, em poucos minutos, você pode facilmente visualizar e comparar as taxas mais baixas na sua área. Um corretor pode então “ajustar” essas cotações para que a empresa e a cobertura que você recebe correspondam melhor às suas necessidades específicas. Tenha em mente que embora pagar a tarifa mais baixa seja o que todo cliente deseja, é importante ter as coberturas certas e estar segurado por uma empresa respeitável e confiável. Um corretor experiente garantirá que você esteja em boas mãos, seja com a Allstate ou não!",geral,insurance_qa_v2
1969,Quando devo obter seguro de vida inteira?,"Você deve comprar uma apólice de seguro de vida assim que identificar a necessidade da cobertura. Especificamente, deveria ser uma necessidade que você não sobreviverá. Nenhum de nós sobreviverá às despesas finais e, de acordo com evidências recentes, estas poderão ser substanciais. Você não deve comprar um seguro de vida e negligenciar o fornecimento de cobertura suficiente para atender às necessidades atuais daqueles que você ama. Isto é mais importante.",geral,insurance_qa_v2
1970,Como posso obter seguro de vida online em Ohio?,"Embora essas respostas sejam precisas, talvez seja melhor trabalhar com um agente consultor licenciado em sua comunidade. Muitas pessoas que compram seguro de vida on-line, infelizmente, não obtêm o seguro ideal para suas necessidades e objetivos. O seguro de vida não é uma mercadoria; hoje, mais do que nunca, as operadoras estão lançando novos produtos que atendem a diversas necessidades. Se você realmente deseja economizar tempo, dinheiro e frustração, utilize o serviço de um agente local de qualidade que possa atendê-lo inicialmente e à medida que suas necessidades mudarem. Procure recomendações de amigos/parentes de confiança em sua comunidade.",geral,insurance_qa_v2
1971,Onde se inscrever no Medicare Parte B?,"Você pode se inscrever no Medicare Parte A e Parte B online em WEBSITELINK. Ou você pode visitar o escritório local do Seguro Social para se inscrever. Um site onde você pode inserir seu código postal para encontrar o endereço do Escritório local de Seguro Social está neste link: WEBSITELINK r você pode ligar para o Seguro Social Medicare em 1-800-772-1213. Se você trabalhou para a Ferrovia, ligue para o Conselho de Aposentadoria da Ferrovia no número 1-877-772-5772.",geral,insurance_qa_v2
1972,Uma anuidade pode ser transformada em um 401K?,"Se você estiver abordando uma anuidade não qualificada existente e desejar usar no financiamento um 401 -LRB-k -RRB-, os seguintes cuidados são recomendados. Seu nome pode ser o mesmo na anuidade e também no IRA, mas na realidade, você está mudando o registro de propriedade. Se isso acontecer, sua anuidade, se houver efeito, será resgatada e esse resgate desencadeará um evento de imposto de renda comum sobre o ganho da apólice. Se você tiver menos de 59 anos, uma multa adicional de 10% também será cobrada. E não se esqueça que a base de anuidade não qualificada é isenta de impostos, inserindo-a em um IRA; você desiste do status de isenção de impostos porque todas as distribuições de IRA são um evento comum de imposto de renda. Antes de prosseguir com qualquer alteração, consulte um consultor fiscal ou CPA.",geral,insurance_qa_v2
1973,Minha esposa pode obter Medicare?,"Se a sua esposa tiver 65 anos e tiver pago impostos do Medicare durante pelo menos 10 anos ao longo da sua vida, ela poderá obter o Medicare. Se ela fosse dona de casa em tempo integral, ela poderá receber o Medicare com base nas suas contribuições. Ela precisará esperar até completar 65 anos, mesmo que você se aposente e comece a receber o Medicare antes que ela complete 65 anos.",geral,insurance_qa_v2
1974,Como você paga o prêmio do seguro de vida SBI online?,"I do sell quite a bit of SBLI term life and if you select monthly you should be on an automatic bank draft or EFT . You can visit their website at WEBSITELINK and select `` Service '' then click on `` Make a Payment '' to set up an EFT . You may also snail mail a check to SBLI USA Life Insurance , PO Box 646 , Newwark , NJ 07101-0646 .",geral,insurance_qa_v2
1975,O seguro de vida pode ser sacrificado em termos de salário?,"Esta questão parece uma investigação do Reino Unido, um país conhecido pela expressão sacrifício salarial. Nos termos dos EUA, a compensação pode ser organizada de diversas maneiras para maximizar o pacote de remuneração de ganhos e benefícios de uma pessoa. Alguns contribuintes de pensões trocam salário por benefícios, tanto qualificados como não qualificados. Alguns planos qualificados podem incluir seguro de vida. Geralmente, os planos executivos não qualificados podem incluir seguro de vida, como acordos de bônus da seção 162 e outros planos de remuneração diferida.",geral,insurance_qa_v2
1976,O seguro residencial aumenta após fazer uma reclamação?,"As taxas que aumentam para fazer sua primeira reclamação podem variar de acordo com a operadora. Muitas seguradoras oferecem um desconto sem sinistro, portanto, fazer um sinistro pode remover esse desconto, que parece ao consumidor um aumento de taxa. Além disso, o tipo de sinistro pode fazer diferença se as taxas serão efetivadas ou não. Existem muitas variáveis ​​e por isso recomendo que você sempre consulte seu agente local sobre como uma reclamação pode afetar suas taxas ou elegibilidade.",geral,insurance_qa_v2
1977,Kroger oferece seguro saúde?,"Boa pergunta. Os empregadores têm suas próprias diretrizes que determinam se um funcionário é elegível para cobertura de saúde, como período integral ou parcial. Às vezes, você é automaticamente inscrito e, às vezes, precisa esperar um determinado período de tempo. É importante que você saiba que pode solicitar seu próprio plano de saúde e se mudar de emprego não precisará se preocupar com o cancelamento de seus benefícios de saúde.",geral,insurance_qa_v2
1978,É necessário seguro para registrar um carro no Alabama?,"O estado do Alabama exige prova de seguro de responsabilidade civil para registrar um carro. A partir de 1º de janeiro de 2013, o Alabama pode verificar seu seguro em relação ao Sistema de verificação de seguro on-line do Alabama -LRB- OVIS -RRB- para verificar o seguro. Você pode encontrar uma lista de todos os requisitos para registrar um veículo no site do Departamento de Receita do Alabama.",geral,insurance_qa_v2
1979,Qual é a penalidade por sacar um 401K antecipadamente?,"Parece que David cobriu a questão completamente, então darei apenas uma resposta curta. Quando você sacar seu 401K antecipadamente – ou seja, antes de completar 55 anos de idade, você será tributado sobre o valor total. Então você será penalizado em dez por cento do valor pré-tributado. Além disso você também poderá ter um percentual retido referente ao imposto de renda do ano do saque.",geral,insurance_qa_v2
1980,Quanto devo esperar pagar pelo seguro automóvel?,"Na Califórnia, as taxas de seguro automóvel são aprovadas pelo Comissário de Seguros do estado. Têm em consideração o registo de condução de todos os membros do agregado familiar, o tipo de veículo a segurar, a utilização do veículo, a quilometragem anual do veículo e a localização do veículo. Um motorista inexperiente, com um péssimo histórico de condução, dirigindo 20.000 milhas por ano em um novo carro esportivo e morando em uma área densamente povoada, pode esperar pagar muito. Total de palavras: 82 é muito para seguro automóvel.",geral,insurance_qa_v2
1981,Meu seguro automóvel cobre meu filho?,"Se o seu filho for um motorista licenciado, ele deve ser adicionado à sua apólice como motorista -LRB-, mesmo que seja apenas para um uso mínimo -RRB-. Se o seu filho for membro do seu agregado familiar e não tiver idade para conduzir, a sua apólice cobrirá-o clinicamente em caso de acidente. Todos os residentes da casa estão cobertos pelo seguro automóvel para contas médicas. Cada estado tem regras diferentes quando se trata de contas médicas, por isso é sempre melhor obter a resposta final do seu especialista de seguros local ou do seu provedor atual.",geral,insurance_qa_v2
